Incident Year,Incident Month,Region,FAA Region,Operator,Flight Phase,Aircraft Damage
1990,1,SOUTHEAST,ASO,COMMERCIAL,CLIMB,1
1990,1,SOUTHEAST,ASO,BUSINESS,TAKEOFF RUN,1
1990,1,SOUTHEAST,ASW,COMMERCIAL,TAKEOFF RUN,1
1990,1,MIDWEST,AGL,PRIVATE,LANDING ROLL,1
1990,1,NORTHEAST,AEA,BUSINESS,TAKEOFF RUN,1
1990,1,MIDWEST,AGL,COMMERCIAL,LANDING ROLL,1
1990,1,MIDWEST,AGL,PRIVATE,APPROACH,1
1990,2,SOUTHEAST,ASW,GOVERNMENT,APPROACH,1
1990,2,NORTHEAST,AEA,COMMERCIAL,CLIMB,1
1990,2,NORTHEAST,AEA,COMMERCIAL,CLIMB,1
1990,2,WEST,AWP,COMMERCIAL,TAKEOFF RUN,1
1990,2,NORTHEAST,AEA,PRIVATE,LANDING ROLL,1
1990,2,SOUTHWEST,ASW,COMMERCIAL,DESCENT,1
1990,3,SOUTHEAST,AEA,GOVERNMENT,TAKEOFF RUN,1
1990,3,SOUTHEAST,AEA,COMMERCIAL,CLIMB,1
1990,3,WEST,AWP,COMMERCIAL,LANDING ROLL,1
1990,3,WEST,AWP,PRIVATE,APPROACH,1
1990,3,SOUTHWEST,ASW,COMMERCIAL,CLIMB,1
1990,3,MIDWEST,ACE,COMMERCIAL,CLIMB,1
1990,3,WEST,AWP,PRIVATE,LANDING ROLL,1
1990,4,NORTHEAST,AEA,COMMERCIAL,TAKEOFF RUN,1
1990,4,SOUTHWEST,ASW,GOVERNMENT,APPROACH,1
1990,4,MIDWEST,AGL,GOVERNMENT,CLIMB,1
1990,4,NORTHEAST,AEA,COMMERCIAL,CLIMB,1
1990,4,MIDWEST,AGL,BUSINESS,APPROACH,1
1990,4,WEST,ANM,COMMERCIAL,LANDING ROLL,1
1990,4,MIDWEST,AGL,PRIVATE,APPROACH,1
1990,4,MIDWEST,AGL,COMMERCIAL,LANDING ROLL,1
1990,4,SOUTHEAST,AEA,COMMERCIAL,APPROACH,1
1990,4,SOUTHEAST,ASO,COMMERCIAL,TAKEOFF RUN,1
1990,5,SOUTHWEST,ASW,BUSINESS,TAKEOFF RUN,1
1990,5,SOUTHWEST,ASW,COMMERCIAL,CLIMB,1
1990,5,WEST,AWP,BUSINESS,APPROACH,1
1990,5,NORTHEAST,AEA,COMMERCIAL,TAKEOFF RUN,1
1990,5,MIDWEST,AGL,BUSINESS,APPROACH,1
1990,5,WEST,AWP,COMMERCIAL,APPROACH,1
1990,5,SOUTHWEST,ASW,COMMERCIAL,TAKEOFF RUN,1
1990,5,NORTHEAST,AEA,COMMERCIAL,TAKEOFF RUN,1
1990,5,MIDWEST,AGL,GOVERNMENT,APPROACH,1
1990,5,WEST,ANM,BUSINESS,APPROACH,1
1990,5,MIDWEST,AGL,COMMERCIAL,TAKEOFF RUN,1
1990,5,SOUTHEAST,ASO,COMMERCIAL,TAKEOFF RUN,1
1990,5,NORTHEAST,ANE,PRIVATE,TAKEOFF RUN,1
1990,5,SOUTHWEST,ASW,GOVERNMENT,APPROACH,1
1990,5,SOUTHWEST,ASW,COMMERCIAL,CLIMB,1
1990,5,SOUTHWEST,ASW,COMMERCIAL,LANDING ROLL,1
1990,5,MIDWEST,AGL,COMMERCIAL,APPROACH,1
1990,5,SOUTHEAST,ASO,BUSINESS,CLIMB,1
1990,5,NORTHEAST,ANE,BUSINESS,APPROACH,1
1990,5,WEST,AWP,COMMERCIAL,APPROACH,1
