Incident Year,Incident Month,Operator,State,FAA Region,Flight Phase,Aircraft Damage

1990,1,COMMERCIAL,KY,ASO,CLIMB,1
1990,1,COMMERCIAL,HI,AWP,TAKEOFF RUN,0
1990,1,GOVERNMENT,SC,ASO,APPROACH,0
1990,1,GOVERNMENT,FL,ASO,CLIMB,0
1990,1,COMMERCIAL,HI,AWP,LANDING ROLL,0
1990,1,COMMERCIAL,FL,ASO,APPROACH,0
1990,1,BUSINESS,TN,ASO,TAKEOFF RUN,1
1990,1,GOVERNMENT,AR,ASW,CLIMB,0
1990,1,COMMERCIAL,LA,ASW,TAKEOFF RUN,1
1990,1,COMMERCIAL,HI,AWP,LANDING ROLL,0
1990,1,GOVERNMENT,HI,AWP,LANDING ROLL,0
1990,1,GOVERNMENT,AR,ASW,APPROACH,0
1990,1,GOVERNMENT,CA,AWP,CLIMB,0
1990,1,PRIVATE,MI,AGL,LANDING ROLL,1
1990,1,SHIPPING,KY,ASO,APPROACH,0
1990,1,BUSINESS,NJ,AEA,TAKEOFF RUN,1
1990,1,COMMERCIAL,NY,AEA,TAKEOFF RUN,0
1990,1,COMMERCIAL,MN,AGL,LANDING ROLL,1
1990,1,GOVERNMENT,FL,ASO,TAKEOFF RUN,0
1990,1,GOVERNMENT,AZ,AWP,CLIMB,0
1990,1,PRIVATE,MI,AGL,APPROACH,1
1990,2,GOVERNMENT,LA,ASW,APPROACH,1
1990,2,GOVERNMENT,LA,ASW,APPROACH,0
1990,2,CARGO,HI,AWP,LANDING ROLL,0
1990,2,GOVERNMENT,HI,AWP,TAKEOFF RUN,0
1990,2,GOVERNMENT,MS,ASO,CLIMB,0
1990,2,COMMERCIAL,NY,AEA,CLIMB,1
1990,2,GOVERNMENT,NY,AEA,APPROACH,0
1990,2,COMMERCIAL,NY,AEA,TAKEOFF RUN,0
1990,2,COMMERCIAL,PA,AEA,CLIMB,1
1990,2,GOVERNMENT,LA,ASW,CLIMB,0
1990,2,COMMERCIAL,CA,AWP,TAKEOFF RUN,1
1990,2,COMMERCIAL,NY,AEA,TAKEOFF RUN,0
1990,2,PRIVATE,NJ,AEA,LANDING ROLL,1
1990,2,GOVERNMENT,LA,ASW,APPROACH,0
1990,2,SHIPPING,DC,AEA,APPROACH,0
1990,2,COMMERCIAL,NJ,AEA,APPROACH,0
1990,2,COMMERCIAL,NY,AEA,LANDING ROLL,0
1990,2,GOVERNMENT,AR,ASW,APPROACH,0
1990,2,COMMERCIAL,TX,ASW,DESCENT,1
1990,3,COMMERCIAL,KS,ACE,LANDING ROLL,0
1990,3,GOVERNMENT,MD,AEA,TAKEOFF RUN,1
1990,3,COMMERCIAL,MI,AGL,DESCENT,0
1990,3,COMMERCIAL,DC,AEA,CLIMB,1
1990,3,GOVERNMENT,AR,ASW,APPROACH,0
1990,3,COMMERCIAL,CA,AWP,LANDING ROLL,1
1990,3,GOVERNMENT,SC,ASO,APPROACH,0
1990,3,GOVERNMENT,DC,AEA,APPROACH,0
1990,3,GOVERNMENT,SC,ASO,APPROACH,0
1990,3,GOVERNMENT,TX,ASW,TAKEOFF RUN,0
1990,3,PRIVATE,CA,AWP,APPROACH,1
1990,3,GOVERNMENT,PA,AEA,TAKEOFF RUN,0
1990,3,COMMERCIAL,DC,AEA,CLIMB,0
1990,3,COMMERCIAL,NM,ASW,CLIMB,1
1990,3,GOVERNMENT,TX,ASW,APPROACH,0
1990,3,COMMERCIAL,HI,AWP,LANDING ROLL,0
1990,3,GOVERNMENT,HI,AWP,TAKEOFF RUN,0
1990,3,GOVERNMENT,NC,ASO,APPROACH,0
1990,3,GOVERNMENT,TX,ASW,TAKEOFF RUN,0
1990,3,COMMERCIAL,MO,ACE,CLIMB,1
1990,3,GOVERNMENT,AZ,AWP,CLIMB,0
1990,3,COMMERCIAL,CA,AWP,LANDING ROLL,0
1990,3,GOVERNMENT,NY,AEA,CLIMB,0
1990,3,PRIVATE,CA,AWP,LANDING ROLL,1
1990,4,COMMERCIAL,HI,AWP,LANDING ROLL,0
1990,4,COMMERCIAL,HI,AWP,LANDING ROLL,0
1990,4,GOVERNMENT,LA,ASW,APPROACH,0
1990,4,COMMERCIAL,DC,AEA,TAKEOFF RUN,0
1990,4,GOVERNMENT,TN,ASO,LANDING ROLL,0
1990,4,COMMERCIAL,NY,AEA,TAKEOFF RUN,1
1990,4,COMMERCIAL,MO,ACE,APPROACH,0
1990,4,COMMERCIAL,TX,ASW,APPROACH,0
1990,4,GOVERNMENT,TX,ASW,APPROACH,1
1990,4,GOVERNMENT,MI,AGL,CLIMB,1
1990,4,COMMERCIAL,NJ,AEA,CLIMB,1
1990,4,BUSINESS,NY,AEA,LANDING ROLL,0
1990,4,COMMERCIAL,MO,ACE,APPROACH,0
1990,4,BUSINESS,WI,AGL,APPROACH,1
1990,4,COMMERCIAL,WA,ANM,LANDING ROLL,1
1990,4,GOVERNMENT,AL,ASO,CLIMB,0
1990,4,GOVERNMENT,NY,AEA,APPROACH,0
1990,4,COMMERCIAL,LA,ASW,APPROACH,0
1990,4,CARGO,CA,AWP,LANDING ROLL,0
1990,4,COMMERCIAL,PA,AEA,TAKEOFF RUN,0
1990,4,BUSINESS,MD,AEA,LANDING ROLL,0
1990,4,GOVERNMENT,NY,AEA,APPROACH,0
1990,4,PRIVATE,MN,AGL,APPROACH,1
1990,4,COMMERCIAL,NY,AEA,LANDING ROLL,0
1990,4,COMMERCIAL,AK,AAL,CLIMB,0
1990,4,COMMERCIAL,NY,AEA,APPROACH,0
1990,4,GOVERNMENT,SC,ASO,TAKEOFF RUN,0
1990,4,GOVERNMENT,SC,ASO,APPROACH,0
1990,4,GOVERNMENT,WV,AEA,APPROACH,0
1990,4,BUSINESS,SD,AGL,TAKEOFF RUN,0
1990,4,COMMERCIAL,MN,AGL,LANDING ROLL,1
1990,4,COMMERCIAL,TX,ASW,TAKEOFF RUN,0
1990,4,GOVERNMENT,FL,ASO,TAKEOFF RUN,0
1990,4,BUSINESS,SD,AGL,CLIMB,0
1990,4,COMMERCIAL,IL,AGL,APPROACH,0
1990,4,COMMERCIAL,CA,AWP,CLIMB,0
1990,4,COMMERCIAL,CA,AWP,APPROACH,0
1990,4,COMMERCIAL,OR,ANM,APPROACH,0
1990,4,COMMERCIAL,AZ,AWP,APPROACH,0
1990,4,COMMERCIAL,DC,AEA,APPROACH,1
1990,4,COMMERCIAL,VA,AEA,APPROACH,0
1990,4,COMMERCIAL,HI,AWP,TAKEOFF RUN,0
1990,4,BUSINESS,NJ,AEA,APPROACH,0
1990,4,COMMERCIAL,FL,ASO,TAKEOFF RUN,1
1990,4,COMMERCIAL,WA,ANM,DESCENT,0
1990,4,BUSINESS,FL,ASO,TAKEOFF RUN,0
1990,5,COMMERCIAL,TX,ASW,APPROACH,0
1990,5,GOVERNMENT,AR,ASW,APPROACH,0
1990,5,COMMERCIAL,IL,AGL,CLIMB,0
1990,5,COMMERCIAL,IL,AGL,APPROACH,0
1990,5,BUSINESS,OH,AGL,TAKEOFF RUN,0
1990,5,COMMERCIAL,TX,ASW,APPROACH,0
1990,5,BUSINESS,TX,ASW,TAKEOFF RUN,1
1990,5,COMMERCIAL,CA,AWP,APPROACH,0
1990,5,COMMERCIAL,TX,ASW,APPROACH,0
1990,5,COMMERCIAL,TX,ASW,LANDING ROLL,0
1990,5,COMMERCIAL,TX,ASW,DESCENT,0
1990,5,GOVERNMENT,AR,ASW,CLIMB,0
1990,5,COMMERCIAL,OH,AGL,CLIMB,0
1990,5,COMMERCIAL,CO,ANM,TAKEOFF RUN,0
1990,5,COMMERCIAL,TX,ASW,CLIMB,1
1990,5,COMMERCIAL,NY,AEA,TAKEOFF RUN,0
1990,5,BUSINESS,CA,AWP,APPROACH,1
1990,5,COMMERCIAL,VA,AEA,TAKEOFF RUN,0
1990,5,BUSINESS,OH,AGL,TAKEOFF RUN,0
1990,5,COMMERCIAL,NC,ASO,APPROACH,0
1990,5,COMMERCIAL,NY,AEA,LANDING ROLL,0
1990,5,BUSINESS,NJ,AEA,CLIMB,0
1990,5,COMMERCIAL,CA,AWP,APPROACH,0
1990,5,BUSINESS,AK,AAL,TAKEOFF RUN,0
1990,5,COMMERCIAL,OK,ASW,APPROACH,0
1990,5,COMMERCIAL,FL,ASO,TAKEOFF RUN,0
1990,5,COMMERCIAL,GA,ASO,APPROACH,0
1990,5,GOVERNMENT,WV,AEA,TAKEOFF RUN,0
1990,5,COMMERCIAL,LA,ASW,APPROACH,0
1990,5,COMMERCIAL,WA,ANM,CLIMB,0
1990,5,COMMERCIAL,NY,AEA,TAKEOFF RUN,0
1990,5,COMMERCIAL,HI,AWP,TAKEOFF RUN,0
1990,5,COMMERCIAL,IL,AGL,APPROACH,0
1990,5,COMMERCIAL,NY,AEA,TAKEOFF RUN,1
1990,5,COMMERCIAL,IL,AGL,TAKEOFF RUN,0
1990,5,COMMERCIAL,DC,AEA,APPROACH,0
1990,5,COMMERCIAL,TX,ASW,LANDING ROLL,0
1990,5,COMMERCIAL,FL,ASO,CLIMB,0
1990,5,GOVERNMENT,SC,ASO,APPROACH,0
1990,5,COMMERCIAL,FL,ASO,TAKEOFF RUN,0
1990,5,BUSINESS,IN,AGL,APPROACH,1
1990,5,COMMERCIAL,TX,ASW,DESCENT,0
1990,5,COMMERCIAL,MD,AEA,APPROACH,0
1990,5,COMMERCIAL,FL,ASO,TAKEOFF RUN,0
1990,5,BUSINESS,MA,ANE,LANDING ROLL,0
1990,5,BUSINESS,NY,AEA,LANDING ROLL,0
1990,5,GOVERNMENT,AR,ASW,APPROACH,0
1990,5,COMMERCIAL,IN,AGL,APPROACH,0
1990,5,COMMERCIAL,CA,AWP,TAKEOFF RUN,0
1990,5,GOVERNMENT,MO,ACE,APPROACH,0
1990,5,GOVERNMENT,MD,AEA,CLIMB,0
1990,5,GOVERNMENT,AR,ASW,APPROACH,0
1990,5,COMMERCIAL,GA,ASO,CLIMB,0
1990,5,COMMERCIAL,CA,AWP,TAKEOFF RUN,0
1990,5,COMMERCIAL,VA,AEA,APPROACH,0
1990,5,COMMERCIAL,CA,AWP,APPROACH,1
1990,5,GOVERNMENT,MT,ANM,LANDING ROLL,0
1990,5,COMMERCIAL,CA,AWP,APPROACH,0
1990,5,GOVERNMENT,FL,ASO,CLIMB,0
1990,5,COMMERCIAL,OH,AGL,APPROACH,0
1990,5,COMMERCIAL,VA,AEA,CLIMB,0
1990,5,COMMERCIAL,TX,ASW,TAKEOFF RUN,1
1990,5,COMMERCIAL,NY,AEA,TAKEOFF RUN,1
1990,5,COMMERCIAL,IL,AGL,CLIMB,0
1990,5,COMMERCIAL,NY,AEA,TAKEOFF RUN,0
1990,5,GOVERNMENT,MI,AGL,APPROACH,1
1990,5,COMMERCIAL,CA,AWP,TAKEOFF RUN,0
1990,5,COMMERCIAL,SC,ASO,LANDING ROLL,0
1990,5,COMMERCIAL,VA,AEA,APPROACH,0
1990,5,COMMERCIAL,ME,ANE,TAKEOFF RUN,0
1990,5,COMMERCIAL,VA,AEA,CLIMB,0
1990,5,BUSINESS,WA,ANM,APPROACH,1
1990,5,COMMERCIAL,NY,AEA,LANDING ROLL,0
1990,5,COMMERCIAL,OK,ASW,CLIMB,0
1990,5,COMMERCIAL,MD,AEA,APPROACH,0
1990,5,COMMERCIAL,NE,ACE,CLIMB,0
1990,5,BUSINESS,MI,AGL,TAKEOFF RUN,0
1990,5,COMMERCIAL,MN,AGL,LANDING ROLL,0
1990,5,COMMERCIAL,TN,ASO,CLIMB,0
1990,5,COMMERCIAL,TN,ASO,APPROACH,0
1990,5,COMMERCIAL,FL,ASO,CLIMB,0
1990,5,COMMERCIAL,TX,ASW,APPROACH,0
1990,5,COMMERCIAL,OH,AGL,TAKEOFF RUN,1
1990,5,COMMERCIAL,MS,ASO,APPROACH,0
1990,5,COMMERCIAL,MO,ACE,APPROACH,0
1990,5,COMMERCIAL,OR,ANM,APPROACH,0
1990,5,COMMERCIAL,FL,ASO,TAKEOFF RUN,1
1990,5,PRIVATE,MA,ANE,TAKEOFF RUN,1
1990,5,COMMERCIAL,OR,ANM,DESCENT,0
1990,5,GOVERNMENT,NY,AEA,APPROACH,0
1990,5,COMMERCIAL,MO,ACE,APPROACH,0
1990,5,COMMERCIAL,VA,AEA,APPROACH,0
1990,5,GOVERNMENT,TX,ASW,APPROACH,1
1990,5,BUSINESS,MD,AEA,TAKEOFF RUN,0
1990,5,GOVERNMENT,AR,ASW,APPROACH,0
1990,5,GOVERNMENT,UT,ANM,LANDING ROLL,0
1990,5,COMMERCIAL,CA,AWP,TAKEOFF RUN,0
1990,5,PRIVATE,IL,AGL,DESCENT,0
1990,5,COMMERCIAL,TX,ASW,LANDING ROLL,0
1990,5,GOVERNMENT,IL,AGL,CLIMB,0
1990,5,GOVERNMENT,IL,AGL,TAKEOFF RUN,0
1990,5,SHIPPING,NY,AEA,APPROACH,0
1990,5,COMMERCIAL,NY,AEA,APPROACH,0
1990,5,COMMERCIAL,TX,ASW,APPROACH,0
1990,5,COMMERCIAL,TX,ASW,CLIMB,1
1990,5,COMMERCIAL,NY,AEA,APPROACH,0
1990,5,COMMERCIAL,LA,ASW,TAKEOFF RUN,0
1990,5,COMMERCIAL,HI,AWP,LANDING ROLL,0
1990,5,COMMERCIAL,NY,AEA,LANDING ROLL,0
1990,5,SHIPPING,NY,AEA,APPROACH,0
1990,5,BUSINESS,CA,AWP,APPROACH,0
1990,5,COMMERCIAL,NY,AEA,APPROACH,0
1990,5,GOVERNMENT,TX,ASW,APPROACH,0
1990,5,COMMERCIAL,IL,AGL,TAKEOFF RUN,0
1990,5,COMMERCIAL,NY,AEA,LANDING ROLL,0
1990,5,COMMERCIAL,KS,ACE,CLIMB,0
1990,5,GOVERNMENT,TX,ASW,APPROACH,0
1990,5,COMMERCIAL,TX,ASW,APPROACH,0
1990,5,GOVERNMENT,VT,ANE,APPROACH,0
1990,5,COMMERCIAL,FL,ASO,APPROACH,0
1990,5,COMMERCIAL,MO,ACE,APPROACH,0
1990,5,PRIVATE,CO,ANM,APPROACH,0
1990,5,COMMERCIAL,IL,AGL,APPROACH,0
1990,5,COMMERCIAL,NV,AWP,CLIMB,0
1990,5,COMMERCIAL,DC,AEA,APPROACH,0
1990,5,PRIVATE,FL,ASO,CLIMB,0
1990,5,COMMERCIAL,FL,ASO,APPROACH,0
1990,5,BUSINESS,CT,ANE,TAKEOFF RUN,0
1990,5,COMMERCIAL,TN,ASO,APPROACH,0
1990,5,COMMERCIAL,KY,ASO,APPROACH,0
1990,5,COMMERCIAL,FL,ASO,APPROACH,0
1990,5,COMMERCIAL,CA,AWP,LANDING ROLL,0
1990,5,COMMERCIAL,CA,AWP,TAKEOFF RUN,0
1990,5,COMMERCIAL,OH,AGL,CLIMB,0
1990,5,COMMERCIAL,NY,AEA,APPROACH,0
1990,5,COMMERCIAL,TX,ASW,LANDING ROLL,1
1990,5,COMMERCIAL,IL,AGL,APPROACH,0
1990,5,BUSINESS,WV,AEA,TAKEOFF RUN,0
1990,5,COMMERCIAL,CA,AWP,APPROACH,0
1990,5,PRIVATE,DC,AEA,APPROACH,0
1990,5,COMMERCIAL,TX,ASW,TAKEOFF RUN,0
1990,5,COMMERCIAL,OK,ASW,APPROACH,0
1990,5,GOVERNMENT,MI,AGL,APPROACH,0
1990,5,COMMERCIAL,IL,AGL,APPROACH,0
1990,5,GOVERNMENT,ID,ANM,APPROACH,0
1990,5,BUSINESS,MD,AEA,APPROACH,0
1990,5,GOVERNMENT,OH,AGL,TAKEOFF RUN,0
1990,5,GOVERNMENT,TX,ASW,APPROACH,0
1990,5,GOVERNMENT,TX,ASW,APPROACH,0
1990,5,COMMERCIAL,CA,AWP,TAKEOFF RUN,0
1990,5,BUSINESS,IA,ACE,APPROACH,0
1990,5,GOVERNMENT,TX,ASW,CLIMB,0
1990,5,GOVERNMENT,SC,ASO,APPROACH,0
1990,5,PRIVATE,VA,AEA,CLIMB,0
1990,5,COMMERCIAL,TX,ASW,APPROACH,0
1990,5,CARGO,AL,ASO,LANDING ROLL,0
1990,5,COMMERCIAL,PA,AEA,APPROACH,0
1990,5,COMMERCIAL,NY,AEA,DESCENT,0
1990,5,COMMERCIAL,IL,AGL,LANDING ROLL,0
1990,5,BUSINESS,MI,AGL,TAKEOFF RUN,0
1990,5,BUSINESS,GA,ASO,CLIMB,0
1990,5,COMMERCIAL,OH,AGL,APPROACH,1
1990,5,COMMERCIAL,MO,ACE,DESCENT,0
1990,5,COMMERCIAL,TN,ASO,APPROACH,0
1990,5,COMMERCIAL,TX,ASW,TAKEOFF RUN,0
1990,5,COMMERCIAL,OH,AGL,CLIMB,0
1990,5,COMMERCIAL,TX,ASW,APPROACH,0
1990,5,COMMERCIAL,KY,ASO,CLIMB,0
1990,5,COMMERCIAL,CA,AWP,APPROACH,0
1990,5,COMMERCIAL,HI,AWP,LANDING ROLL,0
1990,5,BUSINESS,NY,AEA,APPROACH,0
1990,5,COMMERCIAL,NY,AEA,CLIMB,0
1990,5,BUSINESS,FL,ASO,CLIMB,1
1990,5,PRIVATE,IL,AGL,APPROACH,0
1990,5,BUSINESS,FL,ASO,CLIMB,0
1990,5,COMMERCIAL,IL,AGL,APPROACH,0
1990,5,COMMERCIAL,FL,ASO,TAKEOFF RUN,0
1990,5,BUSINESS,CT,ANE,APPROACH,1
1990,5,GOVERNMENT,AR,ASW,APPROACH,0
1990,5,GOVERNMENT,OR,ANM,APPROACH,0
1990,5,COMMERCIAL,KY,ASO,APPROACH,0
1990,5,COMMERCIAL,IL,AGL,CLIMB,0
1990,5,COMMERCIAL,CA,AWP,APPROACH,0
1990,5,COMMERCIAL,CA,AWP,APPROACH,1
1990,5,COMMERCIAL,CA,AWP,APPROACH,0
1990,5,BUSINESS,NY,AEA,APPROACH,1
1990,5,COMMERCIAL,NJ,AEA,TAKEOFF RUN,1
1990,5,COMMERCIAL,TX,ASW,APPROACH,0
1990,5,BUSINESS,MA,ANE,LANDING ROLL,0
1990,5,BUSINESS,MO,ACE,LANDING ROLL,0
1990,5,COMMERCIAL,LA,ASW,APPROACH,0
1990,5,COMMERCIAL,NY,AEA,APPROACH,0
1990,5,COMMERCIAL,TX,ASW,APPROACH,1
1990,5,COMMERCIAL,MO,ACE,APPROACH,0
1990,5,BUSINESS,PA,AEA,APPROACH,1
1990,5,PRIVATE,OH,AGL,TAKEOFF RUN,0
1990,5,BUSINESS,FL,ASO,APPROACH,0
1990,5,COMMERCIAL,TX,ASW,TAKEOFF RUN,1
1990,5,COMMERCIAL,WI,AGL,APPROACH,0
1990,5,SHIPPING,KY,ASO,TAKEOFF RUN,0
1990,6,COMMERCIAL,TX,ASW,LANDING ROLL,0
1990,6,COMMERCIAL,NC,ASO,TAKEOFF RUN,0
1990,6,COMMERCIAL,OK,ASW,APPROACH,0
1990,6,COMMERCIAL,OH,AGL,APPROACH,0
1990,6,COMMERCIAL,CA,AWP,TAKEOFF RUN,0
1990,6,COMMERCIAL,WI,AGL,APPROACH,0
1990,6,BUSINESS,NJ,AEA,TAKEOFF RUN,1
1990,6,COMMERCIAL,TX,ASW,DESCENT,0
1990,6,COMMERCIAL,OK,ASW,CLIMB,0
1990,6,COMMERCIAL,CA,AWP,TAKEOFF RUN,0
1990,6,GOVERNMENT,ID,ANM,APPROACH,0
1990,6,COMMERCIAL,PA,AEA,APPROACH,0
1990,6,GOVERNMENT,LA,ASW,LANDING ROLL,0
1990,6,GOVERNMENT,NY,AEA,CLIMB,0
1990,6,SHIPPING,TN,ASO,CLIMB,0
1990,6,COMMERCIAL,CA,AWP,LANDING ROLL,0
1990,6,COMMERCIAL,WV,AEA,LANDING ROLL,1
1990,6,COMMERCIAL,MO,ACE,APPROACH,0
1990,6,GOVERNMENT,TX,ASW,TAKEOFF RUN,0
1990,6,COMMERCIAL,ID,ANM,APPROACH,1
1990,6,COMMERCIAL,CA,AWP,APPROACH,0
1990,6,COMMERCIAL,IL,AGL,APPROACH,0
1990,6,COMMERCIAL,LA,ASW,CLIMB,1
1990,6,GOVERNMENT,PA,AEA,LANDING ROLL,0
1990,6,COMMERCIAL,CA,AWP,APPROACH,0
1990,6,COMMERCIAL,CT,ANE,APPROACH,0
1990,6,GOVERNMENT,KS,ACE,APPROACH,0
1990,6,COMMERCIAL,AL,ASO,APPROACH,0
1990,6,COMMERCIAL,TN,ASO,APPROACH,0
1990,6,COMMERCIAL,NC,ASO,LANDING ROLL,0
1990,6,COMMERCIAL,MD,AEA,TAKEOFF RUN,0
1990,6,COMMERCIAL,FL,ASO,CLIMB,1
1990,6,COMMERCIAL,TX,ASW,LANDING ROLL,1
1990,6,COMMERCIAL,ME,ANE,CLIMB,0
1990,6,GOVERNMENT,TX,ASW,LANDING ROLL,0
1990,6,COMMERCIAL,HI,AWP,CLIMB,0
1990,6,BUSINESS,AZ,AWP,LANDING ROLL,1
1990,6,GOVERNMENT,ID,ANM,CLIMB,0
1990,6,COMMERCIAL,PA,AEA,LANDING ROLL,0
1990,6,BUSINESS,CA,AWP,APPROACH,0
1990,6,COMMERCIAL,TX,ASW,CLIMB,0
1990,6,COMMERCIAL,FL,ASO,LANDING ROLL,0
1990,6,BUSINESS,CA,AWP,TAKEOFF RUN,1
1990,6,COMMERCIAL,OH,AGL,LANDING ROLL,1
1990,6,GOVERNMENT,MT,ANM,TAKEOFF RUN,0
1990,6,GOVERNMENT,MT,ANM,TAKEOFF RUN,0
1990,6,COMMERCIAL,GA,ASO,DESCENT,0
1990,6,BUSINESS,MI,AGL,LANDING ROLL,0
1990,6,GOVERNMENT,TX,ASW,TAKEOFF RUN,0
1990,6,COMMERCIAL,HI,AWP,LANDING ROLL,0
1990,6,COMMERCIAL,OK,ASW,APPROACH,0
1990,6,COMMERCIAL,NY,AEA,LANDING ROLL,0
1990,6,COMMERCIAL,RI,ANE,TAKEOFF RUN,0
1990,6,COMMERCIAL,CA,AWP,APPROACH,0
1990,6,GOVERNMENT,NY,AEA,APPROACH,0
1990,6,COMMERCIAL,FL,ASO,APPROACH,0
1990,6,COMMERCIAL,KY,ASO,LANDING ROLL,0
1990,6,COMMERCIAL,TN,ASO,LANDING ROLL,0
1990,6,COMMERCIAL,WA,ANM,CLIMB,0
1990,6,COMMERCIAL,TX,ASW,APPROACH,0
1990,6,BUSINESS,IL,AGL,CLIMB,1
